Country,Country ID,Year,Exports (USD),Share (%)
Algeria,DZA,2022,85840426.0,0.016
Egypt,EGY,2022,625254737.0,0.114
Libya,LBY,2022,14821183.0,0.003
Morocco,MAR,2022,161163942.0,0.029
Sudan,SDN,2022,9731789.0,0.002
Tunisia,TUN,2022,131302773.0,0.024
Burundi,BDI,2022,203836.0,0.000
Comoros,COM,2022,41886.0,0.000
Djibouti,DJI,2022,21823919.0,0.004
Ethiopia,ETH,2022,27746721.0,0.005
Kenya,KEN,2022,175680793.0,0.032
Madagascar,MDG,2022,34516038.0,0.006
Mozambique,MOZ,2022,53934174.0,0.010
Mauritius,MUS,2022,63316830.0,0.011
Malawi,MWI,2022,1895600.0,0.000
Rwanda,RWA,2022,272293.0,0.000
Somalia,SOM,2022,6679535.0,0.001
South Sudan,SSD,2022,21171.0,0.000
Seychelles,SYC,2022,4140823.0,0.001
Tanzania,TZA,2022,34209617.0,0.006
Uganda,UGA,2022,65208469.0,0.012
Angola,AGO,2022,132326155.0,0.024
Central African Republic,CAF,2022,9720.0,0.000
Cameroon,CMR,2022,65843777.0,0.012
Democratic Republic of the Congo,COD,2022,10181407.0,0.002
Republic of the Congo,COG,2022,2039945.0,0.000
Gabon,GAB,2022,4616616.0,0.001
Equatorial Guinea,GNQ,2022,399015.0,0.000
Sao Tome and Principe,STP,2022,20095.0,0.000
Chad,TCD,2022,218157.0,0.000
Botswana,BWA,2022,2039714.0,0.000
Lesotho,LSO,2022,108675978.0,0.020
Namibia,NAM,2022,6599974.0,0.001
Eswatini,SWZ,2022,20885651.0,0.004
South Africa,ZAF,2022,927901360.0,0.168
Zambia,ZMB,2022,8306892.0,0.002
Zimbabwe,ZWE,2022,5267798.0,0.001
Benin,BEN,2022,31592949.0,0.006
Burkina Faso,BFA,2022,12104956.0,0.002
Cote d'Ivoire,CIV,2022,37623187.0,0.007
Cape Verde,CPV,2022,20762103.0,0.004
Ghana,GHA,2022,30227669.0,0.005
Guinea,GIN,2022,7726203.0,0.001
Gambia,GMB,2022,486872.0,0.000
GuineaBissau,GNB,2022,3058.0,0.000
Liberia,LBR,2022,4543985.0,0.001
Mali,MLI,2022,1136204.0,0.000
Mauritania,MRT,2022,1839831.0,0.000
Niger,NER,2022,630834.0,0.000
Nigeria,NGA,2022,398330722.0,0.072
Senegal,SEN,2022,12987146.0,0.002
Sierra Leone,SLE,2022,2240583.0,0.000
Togo,TGO,2022,538782008.0,0.098
Kazakhstan,KAZ,2022,102687286.0,0.019
Kyrgyzstan,KGZ,2022,9670042.0,0.002
Tajikistan,TJK,2022,289733.0,0.000
Turkmenistan,TKM,2022,52691.0,0.000
Uzbekistan,UZB,2022,18498112.0,0.003
China,CHN,2022,124854268074.0,22.671
Hong Kong,HKG,2022,57616828082.0,10.462
Japan,JPN,2022,37011083741.0,6.720
South Korea,KOR,2022,27010032670.0,4.904
Macau,MAC,2022,154802179.0,0.028
Mongolia,MNG,2022,17536660.0,0.003
Brunei,BRN,2022,39515359.0,0.007
Indonesia,IDN,2022,4283154032.0,0.778
Cambodia,KHM,2022,979945161.0,0.178
Laos,LAO,2022,21676083.0,0.004
Burma,MMR,2022,223988282.0,0.041
Malaysia,MYS,2022,17800527315.0,3.232
Philippines,PHL,2022,7166966702.0,1.301
Singapore,SGP,2022,49125874585.0,8.920
Thailand,THA,2022,10503262062.0,1.907
TimorLeste,TLS,2022,95053122.0,0.017
Vietnam,VNM,2022,18260419161.0,3.316
Afghanistan,AFG,2022,204716.0,0.000
Bangladesh,BGD,2022,1776734841.0,0.323
Bhutan,BTN,2022,318574.0,0.000
India,IND,2022,7291628493.0,1.324
Iran,IRN,2022,211321941.0,0.038
Sri Lanka,LKA,2022,409109168.0,0.074
Maldives,MDV,2022,10986126.0,0.002
Nepal,NPL,2022,28991017.0,0.005
Pakistan,PAK,2022,566385253.0,0.103
United Arab Emirates,ARE,2022,1996481937.0,0.363
Armenia,ARM,2022,5142761.0,0.001
Azerbaijan,AZE,2022,28364342.0,0.005
Bahrain,BHR,2022,71182340.0,0.013
Georgia,GEO,2022,18939029.0,0.003
Iraq,IRQ,2022,456713016.0,0.083
Israel,ISR,2022,1307358184.0,0.237
Jordan,JOR,2022,307686146.0,0.056
Kuwait,KWT,2022,220264144.0,0.040
Lebanon,LBN,2022,56410387.0,0.010
Oman,OMN,2022,157178119.0,0.029
Palestine,PSE,2022,5219981.0,0.001
Qatar,QAT,2022,142785852.0,0.026
Saudi Arabia,SAU,2022,1467468147.0,0.266
Syria,SYR,2022,4745254.0,0.001
Turkey,TUR,2022,2188803301.0,0.397
Yemen,YEM,2022,11618081.0,0.002
Cyprus,CYP,2022,44841424.0,0.008
Bulgaria,BGR,2022,245740163.0,0.045
Belarus,BLR,2022,10922275.0,0.002
Czechia,CZE,2022,1354312455.0,0.246
Hungary,HUN,2022,1075296593.0,0.195
Moldova,MDA,2022,23421989.0,0.004
Poland,POL,2022,2176141706.0,0.395
Romania,ROU,2022,392907792.0,0.071
Russia,RUS,2022,848583854.0,0.154
Slovakia,SVK,2022,517892157.0,0.094
Ukraine,UKR,2022,243788868.0,0.044
Denmark,DNK,2022,686579161.0,0.125
Estonia,EST,2022,144154767.0,0.026
Finland,FIN,2022,782773092.0,0.142
United Kingdom,GBR,2022,6004668128.0,1.090
Ireland,IRL,2022,1224827091.0,0.222
Iceland,ISL,2022,31616393.0,0.006
Lithuania,LTU,2022,151077450.0,0.027
Latvia,LVA,2022,151078827.0,0.027
Norway,NOR,2022,653309227.0,0.119
Sweden,SWE,2022,1127225458.0,0.205
Albania,ALB,2022,6285295.0,0.001
Andorra,AND,2022,9210701.0,0.002
Bosnia and Herzegovina,BIH,2022,32651604.0,0.006
Spain,ESP,2022,2407236197.0,0.437
Gibraltar,GIB,2022,17239.0,0.000
Greece,GRC,2022,197688378.0,0.036
Croatia,HRV,2022,47373658.0,0.009
Italy,ITA,2022,3553581103.0,0.645
