"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","71.72","71.55","72.54","71.47","8.10M","1.13%"
"03/31/2026","70.92","68.41","70.98","68.40","10.70M","2.84%"
"03/30/2026","68.96","70.39","70.42","68.47","7.00M","-0.76%"
"03/27/2026","69.49","70.04","70.30","69.23","4.81M","-0.87%"
"03/26/2026","70.10","71.40","71.70","70.01","5.00M","-3.16%"
"03/25/2026","72.39","72.20","72.73","71.65","7.07M","2.33%"
"03/24/2026","70.74","70.00","71.19","69.90","7.03M","-1.97%"
"03/23/2026","72.16","71.45","72.62","70.93","10.25M","3.47%"
"03/20/2026","69.74","71.34","71.37","69.40","6.60M","-3.33%"
"03/19/2026","72.14","70.53","72.59","70.22","6.25M","1.12%"
"03/18/2026","71.34","72.62","72.73","71.32","4.42M","-2.27%"
"03/17/2026","73.00","73.14","73.40","72.68","5.35M","1.35%"
"03/16/2026","72.03","71.55","72.35","71.51","6.25M","2.91%"
"03/13/2026","69.99","71.26","72.00","69.68","7.04M","0.33%"
"03/12/2026","69.76","71.45","71.62","69.60","8.82M","-2.99%"
"03/11/2026","71.91","71.59","72.38","71.42","6.50M","2.09%"
"03/10/2026","70.44","70.50","71.77","69.95","8.59M","-0.45%"
"03/09/2026","70.76","68.68","71.26","67.99","11.20M","1.78%"
"03/06/2026","69.52","69.90","70.41","69.19","9.02M","-1.25%"
"03/05/2026","70.40","70.58","71.43","69.34","10.07M","-1.70%"
"03/04/2026","71.62","71.11","71.85","70.65","8.75M","0.46%"
"03/03/2026","71.29","71.03","71.93","69.44","21.66M","-5.04%"
"03/02/2026","75.07","74.16","75.58","74.13","10.91M","-0.79%"
"02/27/2026","75.67","74.94","75.80","74.81","5.91M","-0.62%"
"02/26/2026","76.14","77.25","77.25","75.43","7.85M","-1.19%"
"02/25/2026","77.06","77.01","77.22","76.62","6.29M","1.76%"
"02/24/2026","75.73","75.00","76.13","74.79","8.22M","3.48%"
"02/23/2026","73.18","73.53","73.74","72.68","3.75M","-1.61%"
"02/20/2026","74.38","72.55","74.50","72.53","4.81M","2.35%"
"02/19/2026","72.67","72.38","72.70","72.11","2.57M","-0.42%"
"02/18/2026","72.98","72.82","73.58","72.60","3.37M","0.12%"
"02/17/2026","72.89","71.80","73.01","71.36","5.04M","-0.22%"
"02/13/2026","73.05","72.52","73.17","71.82","5.55M","0.68%"
"02/12/2026","72.56","73.88","73.88","72.25","6.98M","-1.08%"
"02/11/2026","73.35","72.86","73.46","72.41","6.24M","2.67%"
"02/10/2026","71.44","71.59","71.75","71.20","3.13M","0.96%"
"02/09/2026","70.76","69.91","70.99","69.79","3.55M","1.01%"
"02/06/2026","70.05","69.00","70.09","68.87","5.79M","3.23%"
"02/05/2026","67.86","67.49","68.53","67.27","6.53M","-0.43%"
"02/04/2026","68.15","69.56","69.65","67.87","8.70M","-0.99%"
"02/03/2026","68.83","69.37","69.51","68.01","4.65M","-0.16%"
"02/02/2026","68.94","68.25","69.13","68.25","4.02M","1.29%"
"01/30/2026","68.06","68.85","69.08","67.71","6.75M","-2.53%"
"01/29/2026","69.83","70.26","70.27","68.69","4.49M","-1.91%"
"01/28/2026","71.19","71.42","71.56","70.84","4.77M","-0.18%"
"01/27/2026","71.32","70.64","71.39","70.31","7.79M","1.97%"
"01/26/2026","69.94","69.81","70.16","69.58","8.63M","0.33%"
