"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2020","37.16","37.15","37.28","37.06","3.95M","0.60%"
"05/19/2020","36.94","37.05","37.17","36.94","3.06M","-1.04%"
"05/18/2020","37.33","36.86","37.43","36.86","5.08M","2.41%"
"05/15/2020","36.45","36.52","36.63","36.36","5.39M","-1.86%"
"05/14/2020","37.14","36.34","37.16","36.28","7.18M","0.57%"
"05/13/2020","36.93","37.31","37.38","36.78","6.09M","-0.11%"
"05/12/2020","36.97","37.24","37.35","36.95","4.66M","-0.80%"
"05/11/2020","37.27","37.21","37.40","37.12","3.43M","-0.05%"
"05/10/2020","37.29","37.29","37.29","37.29","","0.00%"
"05/09/2020","37.29","37.29","37.29","37.29","","0.00%"
"05/08/2020","37.29","37.12","37.38","37.09","4.28M","0.97%"
"05/07/2020","36.93","36.89","36.99","36.73","3.49M","1.15%"
"05/06/2020","36.51","36.76","36.79","36.45","3.07M","-0.49%"
"05/05/2020","36.69","36.82","36.93","36.65","3.68M","0.00%"
"05/04/2020","36.69","36.37","36.69","36.35","3.10M","1.89%"
"05/03/2020","36.01","36.01","36.01","36.01","","0.00%"
"05/02/2020","36.01","36.01","36.01","36.01","","0.00%"
"05/01/2020","36.01","36.37","36.52","35.96","4.33M","-2.75%"
"04/30/2020","37.03","37.29","37.40","36.85","4.00M","-0.40%"
"04/29/2020","37.18","36.87","37.23","36.85","3.60M","2.57%"
"04/28/2020","36.25","36.45","36.51","36.24","3.79M","0.14%"
"04/27/2020","36.20","36.04","36.22","35.93","2.40M","2.38%"
"04/24/2020","35.36","35.30","35.38","35.09","2.59M","0.63%"
"04/23/2020","35.14","35.30","35.48","35.07","2.66M","0.00%"
"04/22/2020","35.14","35.19","35.27","35.11","3.65M","1.65%"
"04/21/2020","34.57","34.78","34.81","34.51","4.48M","-2.92%"
"04/20/2020","35.61","35.77","35.88","35.55","3.34M","-1.33%"
"04/17/2020","36.09","36.21","36.21","35.94","3.77M","1.58%"
"04/16/2020","35.53","35.54","35.73","35.45","5.64M","1.49%"
"04/15/2020","35.01","35.07","35.18","34.91","3.92M","-1.30%"
"04/14/2020","35.47","35.35","35.60","35.32","6.00M","3.02%"
"04/13/2020","34.43","34.39","34.49","34.30","3.75M","0.50%"
"04/09/2020","34.26","34.66","34.77","34.17","5.96M","-0.93%"
"04/08/2020","34.58","34.46","34.66","34.25","4.73M","0.88%"
"04/07/2020","34.28","34.93","34.96","34.27","7.19M","0.59%"
"04/06/2020","34.08","33.56","34.14","33.52","4.20M","4.73%"
"04/03/2020","32.54","33.08","33.16","32.42","3.63M","-1.63%"
"04/02/2020","33.08","32.54","33.12","32.48","5.89M","2.76%"
"04/01/2020","32.19","32.35","32.55","32.12","3.64M","-2.37%"
"03/31/2020","32.97","33.00","33.22","32.77","3.76M","-0.69%"
"03/30/2020","33.20","32.73","33.20","32.57","4.68M","2.31%"
"03/28/2020","32.45","32.45","32.45","32.45","","0.00%"
"03/27/2020","32.45","32.56","32.87","32.24","4.80M","-4.81%"
"03/26/2020","34.09","33.14","34.13","33.14","9.34M","1.67%"
"03/25/2020","33.53","33.31","33.90","32.96","7.44M","2.82%"
"03/24/2020","32.61","32.40","32.64","32.19","6.80M","6.74%"
"03/23/2020","30.55","31.09","31.11","30.23","7.97M","-0.81%"
"03/21/2020","30.80","30.80","30.80","30.80","","0.00%"
"03/20/2020","30.80","31.74","31.95","30.69","10.86M","4.48%"
"03/19/2020","29.48","29.63","29.82","29.15","9.98M","-1.27%"
"03/18/2020","29.86","29.70","30.53","29.37","7.72M","-7.84%"
"03/17/2020","32.40","31.33","32.47","31.04","5.94M","4.05%"
"03/16/2020","31.14","31.50","32.50","31.00","6.68M","-10.88%"
"03/14/2020","34.94","34.94","34.94","34.94","","0.00%"
"03/13/2020","34.94","35.38","35.66","33.54","14.20M","5.27%"
"03/12/2020","33.19","34.43","34.43","33.09","21.06M","-9.56%"
"03/11/2020","36.70","37.18","37.18","36.67","11.39M","-2.88%"
"03/10/2020","37.79","37.45","37.87","37.13","14.55M","2.75%"
"03/09/2020","36.78","36.68","37.36","36.44","11.39M","-4.19%"
"03/06/2020","38.39","38.18","38.43","38.03","9.78M","-1.59%"
"03/05/2020","39.01","39.03","39.26","38.89","13.79M","-0.61%"
