"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","7,802.3","7,680.6","7,893.7","7,678.0","","2.82%"
"03/31/2026","7,588.2","7,277.9","7,591.3","7,274.1","","6.24%"
"03/30/2026","7,142.3","7,517.5","7,546.7","7,084.1","","-4.23%"
"03/27/2026","7,457.7","7,545.4","7,611.6","7,427.1","","-1.69%"
"03/26/2026","7,585.9","7,823.8","7,831.8","7,582.9","","-4.79%"
"03/25/2026","7,967.7","7,935.7","8,025.7","7,896.2","","1.21%"
"03/24/2026","7,872.7","7,732.8","7,924.4","7,709.5","","1.28%"
"03/23/2026","7,773.1","7,825.8","7,958.0","7,734.4","","1.34%"
"03/20/2026","7,670.6","7,862.7","7,880.8","7,572.1","","-2.45%"
"03/19/2026","7,863.3","7,561.8","7,913.4","7,548.5","","0.87%"
"03/18/2026","7,795.1","7,883.1","7,913.7","7,794.3","","-0.53%"
"03/17/2026","7,836.8","7,828.8","7,866.6","7,763.9","","0.52%"
"03/16/2026","7,796.2","7,846.3","7,896.8","7,762.1","","1.96%"
"03/13/2026","7,646.6","7,744.0","7,819.0","7,618.0","","0.05%"
"03/12/2026","7,643.2","7,771.5","7,805.3","7,612.9","","-3.43%"
"03/11/2026","7,914.6","7,918.3","8,002.9","7,881.2","","0.63%"
"03/10/2026","7,865.1","7,846.5","8,017.1","7,831.1","","0.70%"
"03/09/2026","7,810.4","7,388.3","7,826.5","7,363.2","","3.93%"
"03/06/2026","7,514.7","7,627.7","7,776.7","7,466.5","","-3.93%"
"03/05/2026","7,821.8","7,875.9","7,965.3","7,660.7","","-1.17%"
"03/04/2026","7,914.5","7,891.3","7,959.9","7,807.3","","1.93%"
"03/03/2026","7,764.9","7,806.3","7,855.9","7,673.1","","-4.58%"
"03/02/2026","8,137.4","7,919.9","8,144.3","7,908.8","","0.48%"
"02/27/2026","8,098.4","8,036.8","8,140.0","8,009.3","","-1.21%"
"02/26/2026","8,197.3","8,403.0","8,422.1","8,062.1","","-3.19%"
"02/25/2026","8,467.4","8,442.8","8,498.1","8,418.5","","1.62%"
"02/24/2026","8,332.3","8,314.7","8,387.6","8,225.7","","1.45%"
"02/23/2026","8,213.5","8,248.4","8,291.4","8,124.3","","-0.57%"
"02/20/2026","8,260.4","8,109.0","8,308.3","8,106.0","","1.07%"
"02/19/2026","8,173.3","8,133.2","8,182.4","8,076.8","","-0.50%"
"02/18/2026","8,214.4","8,170.3","8,303.3","8,137.5","","0.96%"
"02/17/2026","8,136.0","8,022.0","8,210.5","7,927.0","","-0.02%"
"02/13/2026","8,137.9","8,137.9","8,137.9","8,137.9","","0.66%"
"02/12/2026","8,084.7","8,358.1","8,400.0","8,079.8","","-2.50%"
"02/11/2026","8,291.9","8,263.2","8,345.7","8,100.6","","2.28%"
"02/10/2026","8,107.1","8,191.6","8,197.9","8,051.9","","-0.68%"
"02/09/2026","8,162.6","7,991.2","8,209.6","7,948.5","","1.42%"
"02/06/2026","8,048.6","7,762.1","8,071.5","7,752.5","","5.70%"
"02/05/2026","7,614.6","7,531.9","7,727.3","7,473.8","","-0.06%"
"02/04/2026","7,619.2","7,863.1","7,955.5","7,461.7","","-4.36%"
"02/03/2026","7,966.3","8,203.0","8,239.6","7,796.5","","-2.07%"
"02/02/2026","8,134.5","7,955.1","8,215.4","7,954.7","","1.70%"
"01/30/2026","7,998.5","8,206.3","8,310.0","7,947.9","","-3.87%"
"01/29/2026","8,320.4","8,340.0","8,387.0","8,020.9","","0.16%"
"01/28/2026","8,306.7","8,287.5","8,341.8","8,227.5","","2.34%"
