"Date","Price","Open","High","Low","Vol.","Change %"
"03/12/2014","574.9","568.7","575.0","566.0","","0.84%"
"03/11/2014","570.1","574.6","576.3","568.6","","-0.54%"
"03/10/2014","573.2","574.1","575.8","570.8","","-0.21%"
"03/07/2014","574.4","576.9","577.6","572.6","","-0.10%"
"03/06/2014","575.0","572.5","575.5","570.6","","0.65%"
"03/05/2014","571.3","569.9","572.6","568.9","","0.21%"
"03/04/2014","570.1","566.8","570.9","566.7","","1.77%"
"03/03/2014","560.2","558.3","561.6","555.0","","-0.64%"
"02/28/2014","563.8","564.3","566.0","559.8","","-0.07%"
"02/27/2014","564.2","563.7","565.1","560.2","","-0.02%"
"02/26/2014","564.3","562.3","568.2","562.3","","0.68%"
"02/25/2014","560.5","564.0","564.3","557.8","","-0.51%"
"02/24/2014","563.4","563.1","567.2","562.9","","0.39%"
"02/21/2014","561.2","565.3","566.3","559.9","","-0.51%"
"02/20/2014","564.1","560.8","564.7","559.3","","0.73%"
"02/19/2014","560.0","558.9","562.6","558.4","","-0.09%"
"02/18/2014","560.5","559.0","560.9","556.2","","0.25%"
"02/14/2014","559.1","555.1","559.9","553.4","","0.56%"
"02/13/2014","556.0","547.2","556.0","546.3","","1.18%"
"02/12/2014","549.5","545.9","550.3","545.9","","0.84%"
"02/11/2014","544.9","538.5","546.2","538.2","","1.28%"
"02/10/2014","538.0","534.8","538.5","534.4","","0.50%"
"02/07/2014","535.3","529.6","535.6","527.0","","1.63%"
"02/06/2014","526.7","519.9","527.8","519.6","","1.58%"
"02/05/2014","518.5","516.5","520.7","512.7","","0.04%"
"02/04/2014","518.3","518.0","519.1","515.3","","0.15%"
"02/03/2014","517.5","528.1","529.2","516.4","","-2.21%"
"01/31/2014","529.2","525.6","531.6","525.5","","-0.53%"
"01/30/2014","532.0","529.9","533.3","527.6","","1.31%"
"01/29/2014","525.1","524.0","529.9","523.9","","-0.45%"
"01/28/2014","527.5","523.8","528.7","522.3","","0.42%"
"01/27/2014","525.3","529.9","531.5","522.3","","-0.68%"
"01/24/2014","528.9","538.9","539.3","528.6","","-2.33%"
"01/23/2014","541.5","544.1","544.4","538.6","","-1.10%"
"01/22/2014","547.5","541.0","547.9","540.2","","1.11%"
"01/21/2014","541.5","540.6","541.8","537.2","","0.63%"
"01/17/2014","538.1","538.4","542.0","536.9","","-0.54%"
"01/16/2014","541.0","543.2","544.2","540.1","","-0.59%"
"01/15/2014","544.2","541.3","545.8","541.2","","0.85%"
"01/14/2014","539.6","529.1","540.1","529.1","","2.26%"
"01/13/2014","527.7","533.1","534.9","526.3","","-1.12%"
"01/10/2014","533.7","533.4","534.7","531.4","","0.41%"
"01/09/2014","531.5","535.7","536.2","529.6","","-0.80%"
"01/08/2014","535.8","532.0","535.9","530.2","","1.59%"
"01/07/2014","527.4","525.1","528.3","524.5","","0.69%"
"01/06/2014","523.8","527.1","527.1","522.9","","-0.55%"
"01/03/2014","526.7","526.9","528.3","524.5","","-0.21%"
"01/02/2014","527.8","530.7","530.8","526.0","","-1.35%"
"12/31/2013","535.0","533.0","535.8","532.6","","0.64%"
"12/30/2013","531.6","529.6","532.2","529.3","","0.30%"
"12/27/2013","530.0","531.2","531.6","529.4","","0.04%"
"12/26/2013","529.8","529.8","531.0","528.5","","0.26%"
"12/24/2013","528.4","526.8","529.5","526.7","","0.34%"
"12/23/2013","526.6","524.1","527.1","523.8","","0.86%"
"12/20/2013","522.1","518.1","523.6","517.9","","0.83%"
"12/19/2013","517.8","519.9","519.9","515.6","","-0.63%"
"12/18/2013","521.1","516.7","521.2","509.6","","0.75%"
"12/17/2013","517.2","512.2","518.7","512.2","","1.00%"
"12/16/2013","512.1","512.0","515.1","511.9","","1.31%"
"12/13/2013","505.5","507.5","508.5","504.3","","-0.06%"
"12/12/2013","505.8","510.2","511.2","505.6","","-0.86%"
"12/11/2013","510.2","514.9","516.8","509.8","","-0.99%"
"12/10/2013","515.3","516.3","517.9","513.9","","-0.29%"
"12/09/2013","516.8","516.6","519.0","516.1","","0.23%"
"12/06/2013","515.6","515.7","517.0","514.4","","1.12%"
"12/05/2013","509.9","509.3","511.9","508.5","","0.22%"
"12/04/2013","508.8","509.1","512.3","505.2","","-0.47%"
"12/03/2013","511.2","508.4","512.9","508.1","","0.35%"
"12/02/2013","509.4","510.4","512.1","508.8","","-0.16%"
"11/29/2013","510.2","510.4","512.5","509.8","","0.04%"
"11/27/2013","510.0","506.4","510.2","505.1","","0.33%"
"11/26/2013","508.3","505.2","509.3","504.6","","0.85%"
"11/25/2013","504.0","505.0","505.3","500.6","","-0.12%"
"11/22/2013","504.6","503.0","505.1","502.0","","0.08%"
"11/21/2013","504.2","497.4","504.5","497.1","","1.74%"
"11/20/2013","495.6","498.5","499.8","494.3","","-0.46%"
"11/19/2013","497.9","503.7","504.9","497.3","","-1.25%"
"11/18/2013","504.2","508.8","509.7","503.3","","-0.92%"
"11/15/2013","508.9","507.2","509.5","503.0","","0.69%"
"11/14/2013","505.4","506.6","507.4","504.6","","-0.51%"
"11/13/2013","508.0","501.4","508.1","500.7","","0.87%"
"11/12/2013","503.6","499.2","503.9","499.1","","0.64%"
"11/11/2013","500.4","499.7","501.3","497.8","","-0.12%"
"11/08/2013","501.0","496.1","501.0","493.5","","1.17%"
"11/07/2013","495.2","504.0","504.2","494.4","","-1.92%"
"11/06/2013","504.9","504.7","505.1","501.8","","0.36%"
"11/05/2013","503.1","501.4","505.1","498.8","","-0.32%"
"11/04/2013","504.7","506.2","506.4","503.6","","-0.14%"
"11/01/2013","505.4","507.9","509.3","503.6","","-0.34%"
"10/31/2013","507.1","505.4","510.2","505.0","","0.56%"
"10/30/2013","504.3","507.4","508.8","502.3","","-0.53%"
"10/29/2013","507.0","501.5","507.1","501.5","","1.50%"
"10/28/2013","499.5","496.3","500.3","495.4","","0.64%"
"10/25/2013","496.3","495.8","496.8","494.3","","0.45%"
"10/24/2013","494.1","493.9","496.3","493.1","","0.82%"
"10/23/2013","490.1","497.2","497.2","487.7","","-3.35%"
"10/22/2013","507.1","507.8","508.8","504.3","","-0.18%"
"10/21/2013","508.0","507.1","508.5","506.0","","0.32%"
"10/18/2013","506.4","504.5","506.8","502.3","","0.26%"
"10/17/2013","505.1","497.9","505.4","496.4","","0.70%"
"10/16/2013","501.6","497.0","501.9","497.0","","1.03%"
"10/15/2013","496.5","500.4","502.1","496.1","","-0.90%"
"10/14/2013","501.0","493.9","501.8","493.7","","0.72%"
"10/11/2013","497.4","493.5","498.9","492.7","","0.18%"
"10/10/2013","496.5","490.0","497.0","489.9","","2.35%"
"10/09/2013","485.1","487.9","488.6","480.1","","-0.35%"
"10/08/2013","486.8","495.6","496.6","485.3","","-1.68%"
"10/07/2013","495.1","492.8","498.7","492.2","","-0.52%"
"10/04/2013","497.7","494.1","498.9","493.9","","0.79%"
"10/03/2013","493.8","495.4","497.5","488.9","","-0.26%"
"10/02/2013","495.1","492.7","495.4","491.9","","-0.14%"
"10/01/2013","495.8","491.5","496.9","491.4","","1.02%"
"09/30/2013","490.8","485.4","492.6","484.6","","0.00%"
"09/27/2013","490.8","492.1","493.1","489.8","","-0.79%"
"09/26/2013","494.7","496.8","498.1","492.8","","-0.04%"
"09/25/2013","494.9","495.3","497.7","492.0","","0.04%"
"09/24/2013","494.7","493.7","497.0","491.0","","0.69%"
"09/23/2013","491.3","494.8","496.3","489.2","","-0.37%"
"09/20/2013","493.1","497.5","499.0","492.7","","-0.60%"
"09/19/2013","496.1","498.9","500.2","494.5","","-0.32%"
"09/18/2013","497.7","493.3","498.1","491.3","","0.87%"
"09/17/2013","493.4","492.4","494.4","491.7","","0.61%"
"09/16/2013","490.4","492.2","493.9","489.6","","0.45%"
"09/13/2013","488.2","486.9","488.4","483.8","","0.43%"
"09/12/2013","486.1","489.0","490.2","485.6","","-0.59%"
"09/11/2013","489.0","488.7","490.4","484.8","","-0.33%"
"09/10/2013","490.6","485.4","490.7","485.4","","1.91%"
"09/09/2013","481.4","477.2","482.5","477.1","","1.33%"
"09/06/2013","475.1","478.9","479.1","471.2","","-0.40%"
"09/05/2013","477.0","474.2","478.0","474.1","","0.72%"
"09/04/2013","473.6","464.6","474.5","463.2","","2.60%"
"09/03/2013","461.6","462.9","467.2","459.2","","0.85%"
"08/30/2013","457.7","461.9","462.3","456.2","","-0.89%"
"08/29/2013","461.8","456.2","463.1","456.2","","1.18%"
"08/28/2013","456.4","452.2","458.7","452.2","","1.15%"
"08/27/2013","451.2","458.1","458.1","450.6","","-2.53%"
"08/26/2013","462.9","464.6","465.8","462.2","","-0.19%"
"08/23/2013","463.8","464.4","464.9","461.2","","0.00%"
"08/22/2013","463.8","460.2","464.7","460.1","","1.16%"
"08/21/2013","458.5","459.5","462.5","456.9","","-0.71%"
"08/20/2013","461.8","459.6","463.5","458.8","","0.54%"
"08/19/2013","459.3","462.1","464.1","459.0","","-0.69%"
"08/16/2013","462.5","460.3","466.8","460.3","","0.37%"
"08/15/2013","460.8","464.5","465.4","460.5","","-2.23%"
"08/14/2013","471.3","472.8","475.7","470.8","","-1.63%"
"08/13/2013","479.1","475.5","479.8","472.2","","1.16%"
"08/12/2013","473.6","470.1","475.0","469.8","","0.38%"
"08/09/2013","471.8","472.7","474.6","470.9","","-0.53%"
"08/08/2013","474.3","475.5","476.5","471.6","","0.04%"
"08/07/2013","474.1","477.2","477.2","472.2","","-0.96%"
"08/06/2013","478.7","481.3","482.0","477.1","","-0.71%"
"08/05/2013","482.1","481.5","482.8","480.6","","-0.27%"
"08/02/2013","483.4","484.0","484.0","480.4","","-0.66%"
"08/01/2013","486.6","481.9","486.8","481.8","","1.84%"
"07/31/2013","477.8","476.1","480.7","475.9","","0.46%"
"07/30/2013","475.6","471.1","476.5","471.1","","1.19%"
"07/29/2013","470.0","471.8","473.6","469.1","","-0.66%"
"07/26/2013","473.1","472.9","473.2","470.5","","-0.90%"
"07/25/2013","477.4","473.4","477.4","471.9","","0.57%"
"07/24/2013","474.7","483.2","483.7","473.9","","-1.82%"
"07/23/2013","483.5","486.7","490.1","482.8","","-0.33%"
"07/22/2013","485.1","487.0","487.0","483.1","","-0.23%"
"07/19/2013","486.2","484.4","486.2","481.7","","-0.21%"
"07/18/2013","487.2","492.1","492.1","485.7","","-0.90%"
"07/17/2013","491.6","491.3","493.2","489.9","","0.10%"
"07/16/2013","491.1","490.3","493.2","489.0","","0.37%"
"07/15/2013","489.3","489.8","490.5","488.3","","-0.06%"
"07/12/2013","489.6","487.9","490.1","486.7","","0.62%"
"07/11/2013","486.6","481.1","486.9","481.1","","2.08%"
"07/10/2013","476.7","470.3","477.6","470.1","","1.12%"
"07/09/2013","471.4","470.6","472.6","469.3","","1.05%"
"07/08/2013","466.5","477.5","477.8","464.8","","-2.02%"
"07/05/2013","476.1","472.3","476.3","470.5","","1.34%"
"07/03/2013","469.8","465.8","471.7","465.1","","0.34%"
"07/02/2013","468.2","466.9","472.9","465.3","","0.11%"
"07/01/2013","467.7","470.0","472.8","467.3","","-0.15%"
"06/28/2013","468.4","464.1","471.1","463.0","","0.36%"
"06/27/2013","466.7","467.9","470.9","466.7","","0.39%"
"06/26/2013","464.9","466.8","467.2","462.2","","0.52%"
"06/25/2013","462.5","456.8","463.6","455.4","","2.41%"
"06/24/2013","451.6","458.1","458.1","448.2","","-2.02%"
"06/21/2013","460.9","462.1","464.3","455.8","","0.26%"
"06/20/2013","459.7","468.2","468.3","458.2","","-3.12%"
"06/19/2013","474.5","479.8","482.1","474.4","","-1.17%"
"06/18/2013","480.1","473.2","480.5","473.1","","1.65%"
"06/17/2013","472.3","470.6","475.3","469.8","","1.46%"
