"Date","Value"
"11/26/1990",1443.2
"11/27/1990",1415.3
"11/28/1990",1420.6
"11/29/1990",1418.9
"11/30/1990",1441.2
"12/03/1990",1462.6
"12/04/1990",1446.3
"12/05/1990",1471
"12/06/1990",1504.7
"12/07/1990",1512.8
"12/10/1990",1504.8
"12/11/1990",1492.7
"12/12/1990",1517.2
"12/13/1990",1517.8
"12/14/1990",1522.4
"12/17/1990",1475.9
"12/18/1990",1477.4
"12/19/1990",1457.2
"12/20/1990",1409.3
"12/21/1990",1414.9
"12/27/1990",1410.9
"12/28/1990",1398.2
"01/02/1991",1366.1
"01/03/1991",1366.7
"01/04/1991",1396.1
"01/07/1991",1358.2
"01/08/1991",1354
"01/09/1991",1375.2
"01/10/1991",1383.4
"01/11/1991",1382.3
"01/14/1991",1327.8
"01/15/1991",1325.6
"01/16/1991",1322.7
"01/17/1991",1422.7
"01/18/1991",1405.1
"01/21/1991",1390.2
"01/22/1991",1375.1
"01/23/1991",1358.8
"01/24/1991",1375.2
"01/25/1991",1382.1
"01/28/1991",1382.7
"01/29/1991",1380.3
"01/30/1991",1400.7
"01/31/1991",1420.1
"02/01/1991",1426.5
"02/04/1991",1435
"02/05/1991",1438.9
"02/06/1991",1428.7
"02/07/1991",1436.3
"02/08/1991",1467.8
"02/11/1991",1488.7
"02/12/1991",1468.9
"02/13/1991",1489.4
"02/14/1991",1486.5
"02/15/1991",1531.2
"02/18/1991",1572.6
"02/19/1991",1587.1
"02/20/1991",1567.3
"02/21/1991",1566.3
"02/22/1991",1582.5
"02/25/1991",1601.2
"02/26/1991",1558.2
"02/27/1991",1565.5
"02/28/1991",1542.1
"03/01/1991",1516.7
"03/04/1991",1530.9
"03/05/1991",1540.3
"03/06/1991",1594.3
"03/07/1991",1580.5
"03/08/1991",1580.5
"03/11/1991",1565.8
"03/12/1991",1571.6
"03/13/1991",1542.2
"03/14/1991",1576.6
"03/15/1991",1570.6
"03/18/1991",1552.9
"03/19/1991",1546.5
"03/20/1991",1517.9
"03/21/1991",1519.6
"03/22/1991",1520.3
"03/25/1991",1515.5
"03/26/1991",1498.4
"03/27/1991",1508.8
"03/28/1991",1522.8
"04/02/1991",1538.6
"04/03/1991",1577.5
"04/04/1991",1572
"04/05/1991",1586.9
"04/08/1991",1580
"04/09/1991",1582.1
"04/10/1991",1561.9
"04/11/1991",1565.4
"04/12/1991",1583.1
"04/15/1991",1601.4
"04/16/1991",1603.4
"04/17/1991",1623.8
"04/18/1991",1613.8
"04/19/1991",1599.4
"04/22/1991",1571.9
"04/23/1991",1597.1
"04/24/1991",1603.7
"04/25/1991",1620.5
"04/26/1991",1623.8
"04/29/1991",1620.3
"04/30/1991",1605.8
"05/02/1991",1630
"05/03/1991",1631.8
"05/06/1991",1624
"05/07/1991",1627.5
"05/08/1991",1607.3
"05/10/1991",1620.6
"05/13/1991",1610.9
"05/14/1991",1598.5
"05/15/1991",1590.4
"05/16/1991",1598.1
"05/17/1991",1598.9
"05/21/1991",1617.4
"05/22/1991",1647.7
"05/23/1991",1652.7
"05/24/1991",1671.9
"05/27/1991",1681.5
"05/28/1991",1682.1
"05/29/1991",1681.5
"05/31/1991",1704.1
"06/03/1991",1694.1
"06/04/1991",1685.4
"06/05/1991",1712.8
"06/06/1991",1704.2
"06/07/1991",1709.6
"06/10/1991",1704.9
"06/11/1991",1715.2
"06/12/1991",1700.8
"06/13/1991",1692.6
"06/14/1991",1699.8
"06/17/1991",1701.1
"06/18/1991",1695.4
"06/19/1991",1683
"06/20/1991",1687
"06/21/1991",1711.9
"06/24/1991",1691.6
"06/25/1991",1691.5
"06/26/1991",1672.1
"06/27/1991",1666.1
"06/28/1991",1622.2
"07/01/1991",1625.2
"07/02/1991",1610.5
"07/03/1991",1614.4
"07/04/1991",1616.1
"07/05/1991",1618.9
"07/08/1991",1605
"07/09/1991",1627.6
"07/10/1991",1634.7
"07/11/1991",1637.9
"07/12/1991",1644.8
"07/15/1991",1646.6
"07/16/1991",1643.9
"07/17/1991",1625.5
"07/18/1991",1618.3
"07/19/1991",1624
"07/22/1991",1623
"07/23/1991",1632.9
"07/24/1991",1621.7
"07/25/1991",1615.4
"07/26/1991",1605.6
"07/29/1991",1605.6
"07/30/1991",1614.9
"07/31/1991",1622.3
"08/01/1991",1622.6
"08/02/1991",1615.4
"08/05/1991",1622
"08/06/1991",1611.9
"08/07/1991",1631.4
"08/08/1991",1630.2
"08/09/1991",1632.2
"08/12/1991",1626.1
"08/13/1991",1644.7
"08/14/1991",1650.2
"08/15/1991",1654.3
"08/16/1991",1653.3
"08/19/1991",1497.9
"08/20/1991",1526.9
"08/21/1991",1570.8
"08/22/1991",1630.8
"08/23/1991",1627.2
"08/26/1991",1654.2
"08/27/1991",1647.1
"08/28/1991",1647.5
"08/29/1991",1655.5
"08/30/1991",1650.5
"09/02/1991",1650.5
"09/03/1991",1655.6
"09/04/1991",1647.9
"09/05/1991",1647.2
"09/06/1991",1646.2
"09/09/1991",1633.1
"09/10/1991",1629.1
"09/11/1991",1628.2
"09/12/1991",1631.3
"09/13/1991",1637.6
"09/16/1991",1629.8
"09/17/1991",1634.6
"09/18/1991",1628.1
"09/19/1991",1620.7
"09/20/1991",1616.1
"09/23/1991",1614.2
"09/24/1991",1626.6
"09/25/1991",1625.4
"09/26/1991",1620
"09/27/1991",1608.1
"09/30/1991",1607
"10/01/1991",1609.6
"10/02/1991",1607.3
"10/04/1991",1601.7
"10/07/1991",1588.7
"10/08/1991",1578.7
"10/09/1991",1567.2
"10/10/1991",1568
"10/11/1991",1568.4
"10/14/1991",1571
"10/15/1991",1585
"10/16/1991",1570.1
"10/17/1991",1564.5
"10/18/1991",1563.3
"10/21/1991",1572.7
"10/22/1991",1580.7
"10/23/1991",1587.9
"10/24/1991",1579
"10/25/1991",1572
"10/28/1991",1576.8
"10/29/1991",1590.8
"10/30/1991",1582.8
"10/31/1991",1582.1
"11/01/1991",1573.6
"11/04/1991",1573.6
"11/05/1991",1576.1
"11/06/1991",1574.2
"11/07/1991",1578.4
"11/08/1991",1606.2
"11/11/1991",1609
"11/12/1991",1621.2
"11/13/1991",1623.2
"11/14/1991",1621
"11/15/1991",1629.4
"11/18/1991",1611.9
"11/19/1991",1599.1
"11/21/1991",1598.1
"11/22/1991",1600.3
"11/25/1991",1589.2
"11/26/1991",1602.9
"11/27/1991",1586.2
"11/28/1991",1588.2
"11/29/1991",1566.6
"12/02/1991",1545.4
"12/03/1991",1546.8
"12/04/1991",1561
"12/05/1991",1553.4
"12/06/1991",1558.2
"12/09/1991",1559.1
"12/10/1991",1551.1
"12/11/1991",1543.6
"12/12/1991",1546.4
"12/13/1991",1558.3
"12/16/1991",1552.9
"12/17/1991",1560.9
"12/18/1991",1573.8
"12/19/1991",1561.8
"12/20/1991",1543.2
"12/23/1991",1539.6
"12/27/1991",1563.6
"12/30/1991",1578
"01/02/1992",1601.9
"01/03/1992",1603.6
"01/06/1992",1603.3
"01/07/1992",1592.5
"01/08/1992",1578.7
"01/09/1992",1589.8
"01/10/1992",1615.7
"01/13/1992",1622.7
"01/14/1992",1628.5
"01/15/1992",1667.5
"01/16/1992",1666.3
"01/17/1992",1671
"01/20/1992",1677.2
"01/21/1992",1685.3
"01/22/1992",1680.1
"01/23/1992",1669.6
"01/24/1992",1664.8
"01/27/1992",1683.6
"01/28/1992",1683.1
"01/29/1992",1672.4
"01/30/1992",1680.9
"01/31/1992",1687.5
"02/03/1992",1689
"02/04/1992",1674.6
"02/05/1992",1686.6
"02/06/1992",1681.1
"02/07/1992",1685.5
"02/10/1992",1682.1
"02/11/1992",1683.6
"02/12/1992",1678.9
"02/13/1992",1681.4
"02/14/1992",1676.5
"02/17/1992",1681.1
"02/18/1992",1695
"02/19/1992",1687.8
"02/20/1992",1703.2
"02/21/1992",1717.6
"02/24/1992",1729.1
"02/25/1992",1722.3
"02/26/1992",1737.3
"02/27/1992",1749.9
"02/28/1992",1745.1
"03/02/1992",1747.9
"03/03/1992",1763.3
"03/04/1992",1759.1
"03/05/1992",1764.8
"03/06/1992",1746
"03/09/1992",1750.3
"03/10/1992",1750.5
"03/11/1992",1743.4
"03/12/1992",1727.5
"03/13/1992",1732.6
"03/16/1992",1724.8
"03/17/1992",1730.1
"03/18/1992",1732.2
"03/19/1992",1724.6
"03/20/1992",1736.3
"03/23/1992",1717.5
"03/24/1992",1713.1
"03/25/1992",1716.3
"03/26/1992",1719
"03/27/1992",1711.5
"03/30/1992",1710.3
"03/31/1992",1717.9
"04/01/1992",1707.3
"04/02/1992",1721.7
"04/03/1992",1719.6
"04/06/1992",1734.6
"04/07/1992",1739.4
"04/08/1992",1720
"04/09/1992",1720.3
"04/10/1992",1736.1
"04/13/1992",1727.7
"04/14/1992",1732.5
"04/15/1992",1743.8
"04/16/1992",1749.2
"04/21/1992",1746.5
"04/22/1992",1753.3
"04/23/1992",1752.4
"04/24/1992",1745.7
"04/27/1992",1742.2
"04/28/1992",1735.9
"04/29/1992",1735.9
"04/30/1992",1734
"05/04/1992",1728.3
"05/05/1992",1732.6
"05/06/1992",1743.5
"05/07/1992",1750.8
"05/08/1992",1748.2
"05/11/1992",1753
"05/12/1992",1751.2
"05/13/1992",1749.4
"05/14/1992",1742.3
"05/15/1992",1724.1
"05/18/1992",1758.4
"05/19/1992",1763.3
"05/20/1992",1787.5
"05/21/1992",1785.5
"05/22/1992",1803
"05/25/1992",1811.6
"05/26/1992",1806.7
"05/27/1992",1794.1
"05/29/1992",1803.2
"06/01/1992",1798.1
"06/02/1992",1801.4
"06/03/1992",1788.6
"06/04/1992",1792.3
"06/05/1992",1789.1
"06/09/1992",1786.3
"06/10/1992",1789.8
"06/11/1992",1781.8
"06/12/1992",1782.3
"06/15/1992",1773.9
"06/16/1992",1779.1
"06/17/1992",1771.8
"06/19/1992",1772.9
"06/22/1992",1770.6
"06/23/1992",1771.1
"06/24/1992",1768.5
"06/25/1992",1764.9
"06/26/1992",1754.1
"06/29/1992",1757.1
"06/30/1992",1752.6
"07/01/1992",1756.3
"07/02/1992",1768.6
"07/03/1992",1777
"07/06/1992",1772.4
"07/07/1992",1767.5
"07/08/1992",1751.2
"07/09/1992",1757.6
"07/10/1992",1754.5
"07/13/1992",1736.5
"07/14/1992",1734.1
"07/15/1992",1734.6
"07/16/1992",1740.5
"07/17/1992",1702.7
"07/20/1992",1649.7
"07/21/1992",1659.8
"07/22/1992",1628.2
"07/23/1992",1623.4
"07/24/1992",1610.4
"07/27/1992",1618.1
"07/28/1992",1610.6
"07/29/1992",1628.2
"07/30/1992",1624
"07/31/1992",1615.4
"08/03/1992",1594.7
"08/04/1992",1611.5
"08/05/1992",1628.8
"08/06/1992",1621.2
"08/07/1992",1609.5
"08/10/1992",1582.6
"08/11/1992",1564.6
"08/12/1992",1553
