Section ID,Section,HS4 ID,HS4,Year,Exports (USD),Share (%)
0,Electrical Machinery and Equipment,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",2011,112310866000.0,36.514
0,Machinery,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2011,31680959000.0,10.3
0,Plastics and articles thereof,39,Plastics and articles thereof,2011,21884491000.0,7.115
0,Mineral Products,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2011,17424747000.0,5.665
0,"Optical, photo, medical apparatus",90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",2011,23497515000.0,7.639
0,Vehicles other than railway,87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2011,9005259000.0,2.928
0,Base metals and articles thereof,72,Iron and steel,2011,11732345000.0,3.814
0,Base metals and articles thereof,73,Articles of iron or steel,2011,7515057000.0,2.443
0,Chemical products,29,Organic chemicals,2011,13289954000.0,4.321
0,Base metals and articles thereof,74,Copper and articles thereof,2011,4095099000.0,1.331
0,Chemical products,38,Miscellaneous chemical products,2011,3379482000.0,1.099
0,Base metals and articles thereof,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2011,2604144000.0,0.847
0,Precious metals,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2011,5310175000.0,1.726
0,Plastics and articles thereof,40,Rubber and articles thereof,2011,3249439000.0,1.056
0,Miscellaneous manufactured articles,95,"Toys, games and sports requisites; parts and accessories thereof",2011,2034013000.0,0.661
0,Textile and articles thereof,54,Man-made filaments; strip and the like of man-made textile materials,2011,4015418000.0,1.305
0,Base metals and articles thereof,76,Aluminium and articles thereof,2011,1593116000.0,0.518
0,Base metals and articles thereof,83,Miscellaneous articles of base metal,2011,1475622000.0,0.48
0,Chemical products,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2011,1699038000.0,0.552
0,Textile and articles thereof,60,Knitted or crocheted fabrics,2011,2445328000.0,0.795
0,Works of art,99,Commodities not elsewhere specified,2011,1423858000.0,0.463
0,"Articles of stone, plaster, cement",70,Glass and glassware,2011,2190393000.0,0.712
0,Miscellaneous manufactured articles,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; luminaires and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings",2011,1857758000.0,0.604
0,Chemical products,30,Pharmaceutical products,2011,263006000.0,0.086
