,"Principal Figures(2008SNA)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Period","Population (Mid-Year,Persons)","Annual Growth Rate(%)","Exchange Rate (N.T.$ per U.S.$)","Annual Growth Rate(%)","GDP Growth Rate (%)","Annual Growth Rate(%)","GDP (Million N.T.$,at Current Prices)","Annual Growth Rate(%)","GDP (Million U.S.$,at Current Prices)","Annual Growth Rate(%)","Per Capita GDP ( N.T.$,at Current Prices )","Annual Growth Rate(%)","Per Capita GDP ( U.S.$,at Current Prices )","Annual Growth Rate(%)","GNI (Million N.T.$,at Current Prices)","Annual Growth Rate(%)","GNI (Million U.S.$,at Current Prices)","Annual Growth Rate(%)","Per Capita GNI ( N.T.$,at Current Prices )","Annual Growth Rate(%)","Per Capita GNI ( U.S.$,at Current Prices )","Annual Growth Rate(%)","NI (Million N.T.$,at Current Prices)","Annual Growth Rate(%)","NI (Million U.S.$,at Current Prices)","Annual Growth Rate(%)","Per Capita NI ( N.T.$,at Current Prices)","Annual Growth Rate(%)","Per Capita NI ( U.S.$,at Current Prices )","Annual Growth Rate(%)"
"1961 Q1",10895610,-,40.00,--,-,--,17544,-,439,-,1610,-,40,-,17523,-,438,-,1608,-,40,-,-,-,-,-,-,-,-,-
"1961 Q2",10985460,-,40.00,--,-,--,17269,-,432,-,1572,-,39,-,17248,-,431,-,1570,-,39,-,-,-,-,-,-,-,-,-
"1961 Q3",11075310,-,40.00,--,-,--,16213,-,405,-,1464,-,37,-,16193,-,405,-,1462,-,37,-,-,-,-,-,-,-,-,-
"1961 Q4",11165159,-,40.00,--,-,--,20096,-,502,-,1802,-,45,-,20075,-,502,-,1800,-,45,-,-,-,-,-,-,-,-,-
"1962 Q1",11255692,3.30,40.00,--,8.88,--,18727,6.74,468,6.61,1665,3.42,42,5.00,18699,6.71,467,6.62,1661,3.30,42,5.00,-,-,-,-,-,-,-,-
"1962 Q2",11346906,3.29,40.00,--,9.11,--,19147,10.87,479,10.88,1688,7.38,42,7.69,19120,10.85,478,10.90,1685,7.32,42,7.69,-,-,-,-,-,-,-,-
"1962 Q3",11438121,3.28,40.00,--,12.39,--,18533,14.31,463,14.32,1621,10.72,41,10.81,18506,14.28,463,14.32,1618,10.67,40,8.11,-,-,-,-,-,-,-,-
"1962 Q4",11529335,3.26,40.00,--,6.05,--,21998,9.46,550,9.56,1908,5.88,47,4.44,21970,9.44,549,9.36,1908,6.00,48,6.67,-,-,-,-,-,-,-,-
"1963 Q1",11621732,3.25,40.00,--,14.38,--,21913,17.01,548,17.09,1886,13.27,47,11.90,21884,17.03,547,17.13,1884,13.43,47,11.90,-,-,-,-,-,-,-,-
"1963 Q2",11715312,3.25,40.00,--,10.91,--,21578,12.70,539,12.53,1842,9.12,46,9.52,21549,12.70,539,12.76,1839,9.14,46,9.52,-,-,-,-,-,-,-,-
"1963 Q3",11808891,3.24,40.00,--,7.35,--,20496,10.59,512,10.58,1736,7.09,43,4.88,20468,10.60,512,10.58,1733,7.11,43,7.50,-,-,-,-,-,-,-,-
"1963 Q4",11902471,3.24,40.00,--,10.31,--,24745,12.49,619,12.55,2080,9.01,53,12.77,24718,12.51,617,12.39,2078,8.91,52,8.33,-,-,-,-,-,-,-,-
"1964 Q1",11996231,3.22,40.00,--,12.94,--,26283,19.94,657,19.89,2191,16.17,55,17.02,26264,20.01,657,20.11,2189,16.19,55,17.02,-,-,-,-,-,-,-,-
"1964 Q2",12090172,3.20,40.00,--,13.96,--,25537,18.35,638,18.37,2112,14.66,53,15.22,25534,18.49,638,18.37,2112,14.85,53,15.22,-,-,-,-,-,-,-,-
"1964 Q3",12184114,3.18,40.00,--,13.40,--,23732,15.79,593,15.82,1948,12.21,49,13.95,23740,15.99,594,16.02,1948,12.41,49,13.95,-,-,-,-,-,-,-,-
"1964 Q4",12278055,3.16,40.00,--,10.58,--,28113,13.61,704,13.73,2290,10.10,57,7.55,28143,13.86,703,13.94,2293,10.35,57,9.62,-,-,-,-,-,-,-,-
"1965 Q1",12371735,3.13,40.00,--,10.33,--,28200,7.29,705,7.31,2279,4.02,57,3.64,28152,7.19,704,7.15,2276,3.97,57,3.64,-,-,-,-,-,-,-,-
"1965 Q2",12465154,3.10,40.00,--,11.48,--,28597,11.98,715,12.07,2294,8.62,57,7.55,28548,11.80,714,11.91,2290,8.43,57,7.55,-,-,-,-,-,-,-,-
"1965 Q3",12558572,3.07,40.00,--,12.92,--,26822,13.02,671,13.15,2136,9.65,53,8.16,26773,12.78,669,12.63,2132,9.45,53,8.16,-,-,-,-,-,-,-,-
"1965 Q4",12651991,3.05,40.00,--,12.81,--,31143,10.78,778,10.51,2463,7.55,62,8.77,31095,10.49,777,10.53,2459,7.24,62,8.77,-,-,-,-,-,-,-,-
"1966 Q1",12742563,3.00,40.00,--,6.62,--,30407,7.83,760,7.80,2387,4.74,60,5.26,30396,7.97,760,7.95,2386,4.83,60,5.26,28845,-,721,-,2264,-,57,-
"1966 Q2",12830290,2.93,40.00,--,9.84,--,31379,9.73,784,9.65,2447,6.67,61,7.02,31362,9.86,784,9.80,2445,6.77,61,7.02,29712,-,743,-,2316,-,58,-
"1966 Q3",12918016,2.86,40.00,--,13.30,--,30923,15.29,773,15.20,2395,12.13,60,13.21,30901,15.42,773,15.55,2393,12.24,60,13.21,29087,-,727,-,2252,-,56,-
"1966 Q4",13005742,2.80,40.00,--,9.03,--,35563,14.19,890,14.40,2735,11.04,68,9.68,35516,14.22,887,14.16,2732,11.10,68,9.68,33628,-,841,-,2588,-,64,-
"1967 Q1",13089790,2.72,40.00,--,12.30,--,35262,15.97,882,16.05,2695,12.90,67,11.67,35194,15.78,880,15.79,2690,12.74,67,11.67,33294,15.42,832,15.40,2545,12.41,64,12.28
"1967 Q2",13170160,2.65,40.00,--,10.49,--,35662,13.65,892,13.78,2709,10.71,68,11.48,35579,13.45,889,13.39,2702,10.51,68,11.48,33549,12.91,839,12.92,2548,10.02,64,10.34
"1967 Q3",13250529,2.57,40.00,--,8.95,--,36027,16.51,901,16.56,2720,13.57,68,13.33,35947,16.33,899,16.30,2714,13.41,68,13.33,33781,16.14,845,16.23,2550,13.23,64,14.29
"1967 Q4",13330899,2.50,40.00,--,12.67,--,41397,16.40,1034,16.18,3106,13.56,78,14.71,41305,16.30,1033,16.46,3099,13.43,77,13.24,39044,16.11,976,16.05,2930,13.21,72,12.50
"1968 Q1",13415447,2.49,40.00,--,8.44,--,39991,13.41,1000,13.38,2982,10.65,75,11.94,39906,13.39,998,13.41,2976,10.63,74,10.45,37578,12.87,939,12.86,2802,10.10,70,9.38
"1968 Q2",13504174,2.54,40.00,--,9.02,--,41595,16.64,1040,16.59,3081,13.73,77,13.24,41535,16.74,1038,16.76,3077,13.88,77,13.24,39075,16.47,977,16.45,2895,13.62,72,12.50
"1968 Q3",13592901,2.58,40.00,--,12.89,--,43045,19.48,1076,19.42,3168,16.47,79,16.18,42945,19.47,1074,19.47,3160,16.43,79,16.18,40267,19.20,1007,19.17,2963,16.20,74,15.63
"1968 Q4",13681628,2.63,40.00,--,8.73,--,48377,16.86,1209,16.92,3538,13.91,88,12.82,48164,16.61,1204,16.55,3523,13.68,88,14.29,45365,16.19,1134,16.19,3318,13.24,83,15.28
"1969 Q1",13811739,2.95,40.00,--,11.56,--,47916,19.82,1198,19.80,3471,16.40,87,16.00,47842,19.89,1196,19.84,3465,16.43,87,17.57,44905,19.50,1123,19.60,3252,16.06,81,15.71
"1969 Q2",13983236,3.55,40.00,--,9.98,--,48732,17.16,1218,17.12,3487,13.18,87,12.99,48660,17.15,1217,17.24,3481,13.13,87,12.99,45558,16.59,1139,16.58,3259,12.57,81,12.50
"1969 Q3",14154732,4.13,40.00,--,9.89,--,49355,14.66,1234,14.68,3489,10.13,87,10.13,49320,14.84,1233,14.80,3485,10.28,87,10.13,46057,14.38,1151,14.30,3255,9.85,81,9.46
"1969 Q4",14326228,4.71,40.00,--,7.27,--,54685,13.04,1367,13.07,3818,7.91,96,9.09,54619,13.40,1365,13.37,3816,8.32,95,7.95,51181,12.82,1280,12.87,3575,7.75,91,9.64
"1970 Q1",14456789,4.67,40.00,--,8.07,--,53497,11.65,1337,11.60,3700,6.60,93,6.90,53472,11.77,1337,11.79,3699,6.75,92,5.75,50096,11.56,1252,11.49,3465,6.55,87,7.41
"1970 Q2",14539891,3.98,40.00,--,13.14,--,57199,17.37,1430,17.41,3934,12.82,98,12.64,57077,17.30,1427,17.26,3926,12.78,98,12.64,53490,17.41,1337,17.38,3679,12.89,92,13.58
"1970 Q3",14615985,3.26,40.00,--,11.32,--,57385,16.27,1435,16.29,3926,12.53,98,12.64,57399,16.38,1435,16.38,3927,12.68,98,12.64,53599,16.38,1340,16.42,3667,12.66,92,13.58
"1970 Q4",14704093,2.64,40.00,--,13.34,--,63316,15.78,1583,15.80,4308,12.83,108,12.50,63037,15.41,1576,15.46,4287,12.34,108,13.68,59004,15.28,1476,15.31,4014,12.28,100,9.89
"1971 Q1",14795178,2.34,40.00,--,13.58,--,62991,17.75,1575,17.80,4258,15.08,106,13.98,63010,17.84,1575,17.80,4259,15.14,106,15.22,58926,17.63,1473,17.65,3983,14.95,100,14.94
"1971 Q2",14874437,2.30,40.00,--,16.26,--,67086,17.29,1677,17.27,4510,14.64,113,15.31,66944,17.29,1674,17.31,4501,14.65,113,15.31,62681,17.18,1567,17.20,4215,14.57,105,14.13
"1971 Q3",14947675,2.27,40.00,--,14.54,--,66616,16.09,1665,16.03,4457,13.53,111,13.27,66558,15.96,1664,15.96,4453,13.39,111,13.27,62045,15.76,1551,15.75,4151,13.20,104,13.04
"1971 Q4",15028940,2.21,40.00,--,9.77,--,72391,14.33,1810,14.34,4818,11.84,121,12.04,72450,14.93,1811,14.91,4822,12.48,121,12.04,67532,14.45,1689,14.43,4494,11.96,112,12.00
"1972 Q1",15109925,2.13,40.00,--,14.41,--,75618,20.05,1890,20.00,5004,17.52,125,17.92,75358,19.60,1884,19.62,4986,17.07,125,17.92,70180,19.10,1755,19.14,4644,16.60,116,16.00
"1972 Q2",15177272,2.04,40.00,--,14.02,--,80489,19.98,2012,19.98,5301,17.54,133,17.70,80555,20.33,2014,20.31,5306,17.88,133,17.70,75145,19.88,1879,19.91,4950,17.44,124,18.10
"1972 Q3",15243614,1.98,40.00,--,12.29,--,80071,20.20,2002,20.24,5252,17.84,131,18.02,79950,20.12,1999,20.13,5244,17.76,131,18.02,74151,19.51,1854,19.54,4863,17.15,122,17.31
"1972 Q4",15323024,1.96,40.00,--,14.72,--,86326,19.25,2159,19.28,5632,16.89,141,16.53,86709,19.68,2167,19.66,5657,17.32,141,16.53,80439,19.11,2010,19.01,5248,16.78,131,16.96
"1973 Q1",15398584,1.91,39.00,--,14.35,--,92365,22.15,2366,25.19,6000,19.90,154,23.20,92400,22.61,2367,25.64,6003,20.40,154,23.20,85645,22.04,2194,25.01,5564,19.81,143,23.28
"1973 Q2",15466929,1.91,38.00,--,10.46,--,97995,21.75,2577,28.08,6338,19.56,167,25.56,97975,21.62,2576,27.90,6336,19.41,167,25.56,90543,20.49,2381,26.72,5856,18.30,154,24.19
"1973 Q3",15537283,1.93,38.00,--,14.94,--,105485,31.74,2773,38.51,6792,29.32,179,36.64,105129,31.49,2764,38.27,6769,29.08,178,35.88,96486,30.12,2537,36.84,6212,27.74,163,33.61
"1973 Q4",15608643,1.86,38.00,--,11.79,--,122615,42.04,3224,49.33,7859,39.54,206,46.10,122840,41.67,3230,49.05,7873,39.17,206,46.10,113131,40.64,2974,47.96,7250,38.15,191,45.80
"1974 Q1",15676296,1.80,38.00,--,7.01,--,138047,49.46,3633,53.55,8804,46.73,232,50.65,138218,49.59,3637,53.65,8815,46.84,232,50.65,125915,47.02,3314,51.05,8030,44.32,211,47.55
"1974 Q2",15744624,1.80,38.00,--,3.47,--,142838,45.76,3759,45.87,9070,43.11,239,43.11,142318,45.26,3745,45.38,9037,42.63,238,42.51,129524,43.05,3409,43.18,8225,40.45,216,40.26
"1974 Q3",15812952,1.77,38.00,--,0.11,--,137727,30.57,3624,30.69,8708,28.21,229,27.93,137516,30.81,3619,30.93,8694,28.44,229,28.65,124338,28.87,3272,28.97,7861,26.55,207,26.99
"1974 Q4",15889319,1.80,38.00,--,0.34,--,141473,15.38,3723,15.48,8901,13.26,234,13.59,141856,15.48,3733,15.57,8925,13.36,234,13.59,128537,13.62,3382,13.72,8087,11.54,213,11.52
"1975 Q1",15967632,1.86,38.00,--,-2.80,--,139685,1.19,3676,1.18,8748,-0.64,230,-0.86,139303,0.78,3666,0.80,8724,-1.03,230,-0.86,124581,-1.06,3278,-1.09,7802,-2.84,205,-2.84
"1975 Q2",16036952,1.86,38.00,--,4.50,--,147757,3.44,3888,3.43,9214,1.59,242,1.26,147015,3.30,3869,3.31,9167,1.44,241,1.26,132362,2.19,3483,2.17,8254,0.35,217,0.46
"1975 Q3",16101248,1.82,38.00,--,10.66,--,151944,10.32,3999,10.35,9437,8.37,248,8.30,150603,9.52,3963,9.51,9353,7.58,246,7.42,135321,8.83,3561,8.83,8404,6.91,221,6.76
"1975 Q4",16180614,1.83,38.00,--,12.38,--,162392,14.79,4273,14.77,10036,12.75,265,13.25,161513,13.86,4250,13.85,9983,11.85,263,12.39,146096,13.66,3845,13.69,9030,11.66,238,11.74
"1976 Q1",16256774,1.81,38.00,--,15.96,--,168299,20.48,4429,20.48,10342,18.22,272,18.26,167284,20.09,4402,20.08,10280,17.84,271,17.83,150504,20.81,3961,20.84,9249,18.55,244,19.02
"1976 Q2",16328089,1.82,38.00,--,14.28,--,177461,20.10,4670,20.11,10857,17.83,286,18.18,175767,19.56,4625,19.54,10754,17.31,283,17.43,158522,19.76,4172,19.78,9699,17.51,255,17.51
"1976 Q3",16414471,1.95,38.00,--,12.83,--,181939,19.74,4788,19.73,11073,17.34,292,17.74,180908,20.12,4761,20.14,11010,17.72,290,17.89,162590,20.15,4279,20.16,9895,17.74,260,17.65
"1976 Q4",16521945,2.11,38.00,--,14.20,--,193830,19.36,5101,19.38,11720,16.78,308,16.23,192554,19.22,5068,19.25,11642,16.62,306,16.35,173678,18.88,4569,18.83,10501,16.29,276,15.97
"1977 Q1",16615413,2.21,38.00,--,11.98,--,194251,15.42,5112,15.42,11693,13.06,308,13.24,193955,15.94,5104,15.95,11674,13.56,307,13.28,173699,15.41,4571,15.40,10455,13.04,275,12.70
"1977 Q2",16688719,2.21,38.00,--,13.97,--,209530,18.07,5514,18.07,12557,15.66,330,15.38,207494,18.05,5460,18.05,12434,15.62,327,15.55,187138,18.05,4925,18.05,11214,15.62,295,15.69
"1977 Q3",16765038,2.14,38.00,--,9.19,--,211191,16.08,5558,16.08,12599,13.78,332,13.70,210438,16.32,5538,16.32,12553,14.01,330,13.79,189316,16.44,4982,16.43,11293,14.13,297,14.23
"1977 Q4",16844369,1.95,38.00,--,10.65,--,230620,18.98,6068,18.96,13692,16.83,360,16.88,228581,18.71,6016,18.71,13573,16.59,358,16.99,206877,19.12,5444,19.15,12285,16.99,324,17.39
"1978 Q1",16916769,1.81,38.00,--,12.90,--,228856,17.81,6008,17.53,13523,15.65,355,15.26,229255,18.20,6018,17.91,13547,16.04,356,15.96,206874,19.10,5430,18.79,12225,16.93,321,16.73
"1978 Q2",16985043,1.78,38.00,--,12.35,--,248037,18.38,6510,18.06,14598,16.25,383,16.06,246073,18.59,6459,18.30,14483,16.48,380,16.21,223240,19.29,5860,18.98,13138,17.16,345,16.95
"1978 Q3",17063356,1.78,36.12,--,17.26,--,258899,22.59,7150,28.64,15168,20.39,419,26.20,259763,23.44,7174,29.54,15217,21.22,420,27.27,235406,24.35,6500,30.47,13791,22.12,381,28.28
"1978 Q4",17156731,1.85,35.68,--,11.92,--,275630,19.52,7705,26.98,16059,17.29,449,24.72,274000,19.87,7659,27.31,15964,17.62,446,24.58,248179,19.96,6938,27.44,14460,17.70,404,24.69
"1979 Q1",17238277,1.90,35.94,--,10.73,--,279605,22.18,7783,29.54,16212,19.88,451,27.04,280323,22.28,7803,29.66,16253,19.97,452,26.97,252525,22.07,7029,29.45,14641,19.76,408,27.10
"1979 Q2",17311551,1.92,36.01,--,9.93,--,300268,21.06,8341,28.13,17336,18.76,482,25.85,301012,22.33,8362,29.46,17379,20.00,483,27.11,271779,21.74,7550,28.84,15691,19.43,436,26.38
"1979 Q3",17393858,1.94,36.06,--,7.63,--,311580,20.35,8644,20.90,17904,18.04,497,18.62,311776,20.02,8649,20.56,17915,17.73,497,18.33,280451,19.14,7780,19.69,16115,16.85,447,17.32
"1979 Q4",17492224,1.96,36.03,--,7.30,--,328043,19.02,9107,18.20,18744,16.72,520,15.81,326785,19.26,9072,18.45,18672,16.96,519,16.37,293919,18.43,8160,17.61,16794,16.14,466,15.35
"1980 Q1",17578091,1.97,36.04,--,7.91,--,349937,25.15,9710,24.76,19900,22.75,552,22.39,351958,25.55,9766,25.16,20014,23.14,556,23.01,315481,24.93,8754,24.54,17940,22.53,498,22.06
"1980 Q2",17648339,1.95,36.04,--,8.39,--,373870,24.51,10374,24.37,21175,22.14,588,21.99,371374,23.38,10304,23.22,21034,21.03,584,20.91,333200,22.60,9245,22.45,18872,20.27,524,20.18
"1980 Q3",17724609,1.90,35.96,--,7.84,--,383636,23.13,10667,23.40,21635,20.84,602,21.13,385730,23.72,10726,24.01,21753,21.42,604,21.53,345369,23.15,9603,23.43,19477,20.86,542,21.25
"1980 Q4",17817939,1.86,35.96,--,8.01,--,415052,26.52,11541,26.73,23285,24.23,647,24.42,411327,25.87,11437,26.07,23075,23.58,641,23.51,369141,25.59,10264,25.78,20708,23.31,575,23.39
"1981 Q1",17901555,1.84,35.95,--,7.19,--,422804,20.82,11766,21.17,23610,18.64,657,19.02,421527,19.77,11729,20.10,23539,17.61,655,17.81,377368,19.62,10502,19.97,21073,17.46,586,17.67
